nama_lomba,bidang_utama,kategori,tema,jumlah_peserta,hadiah,start_date,deadline_date,penyelenggara
Kompetisi Business Case Batam,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,976,15000000,,2025-06-25,Bursa Efek Indonesia
NATIONAL STARTUP FEST 2025,Bisnis & Ekonomi,Marketing,Keuangan Inklusif,2090,32000000,,2025-04-16,Bank Indonesia
National CodeFest 2024,Tech & IT,Cyber Security,Blockchain for Good,2305,9000000,,2024-08-16,KEMENTERIAN KOMINFO
national startup fest 2025   ,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,-3636,6000000,,2025-08-24,Bank Indonesia
National Sociopreneur 2025,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,1921,8000000,,2025-03-15,Yayasan Ruangguru
gelar aksi sehat jakarta   ,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,716,36000000,,2024-05-22,Yayasan Peduli Sehat
AKSI SEHAT MANADO 2025,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,1804,29000000,,2025-11-29,who indonesia   
GAGASAN MEDIS PADANG 2025,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,2980,26000000,2025-09-18,2025-10-02,Ikatan Dokter Indonesia
Med Inno Yogyakarta 2026,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,3847,23000000,,2026-05-10,WHO INDONESIA
National Hackathon 2026,Tech & IT,Cyber Security,Generative AI,1626,5000000,,2026-11-28,Google Developer Group
Gagasan Medis Batam 2026,Kesehatan,Teknologi Medis,Awareness Kesehatan Mental,2739,45000000,,2026-09-15,IKATAN DOKTER INDONESIA
kompetisi datathon bengkulu   ,Tech & IT,UI/UX Design,Smart City,-869,16000000,,2025-04-25,Tech Community
KOMPETISI MED INNO BANDUNG,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,89,36000000,,2026-08-24,yayasan peduli sehat   
National Aksi Baik 2026,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,2213,29000000,,2026-05-20,unicef indonesia   
Kompetisi Health Challenge Balikpapan,Kesehatan,Umum - Kesehatan,Inovasi Alat Medis,1854,45000000,,2024-10-23,Kementerian Kesehatan RI
Impact Fest Denpasar 2026,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,463,28000000,,2026-02-03,UNICEF Indonesia
Kompetisi Medical Hackathon Surabaya,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,-1164,35000000,,2026-03-29,Kementerian Kesehatan RI
hackathon denpasar 2025   ,Tech & IT,Umum - Tech & IT,Generative AI,2358,29000000,,2025-04-06,Google Developer Group
Startup Fest Jakarta 2025,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3273,10000000,,2026-01-01,bca   
Gelar Relawan Challenge Palembang,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,820,33000000,,2024-12-05,UNICEF Indonesia
Eco Summit Nasional 2025,Sosial & Lingkungan,Lingkungan Hidup,Umum - Sosial & Lingkungan,1921,33000000,,2025-02-13,WWF Indonesia
Ideathon Pontianak 2026,Tech & IT,Cyber Security,Generative AI,542,44000000,,2026-03-24,tech community   
National Health Challenge 2024,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,3114,27000000,,2026-03-24,Ikatan Dokter Indonesia
GELAR VENTURE CHALLENGE PADANG,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,1577,7000000,,2025-05-03,Kementerian Koperasi dan UKM
Festival Aksi Sehat Medan,Kesehatan,Teknologi Medis,Inovasi Alat Medis,3845,38000000,,2026-08-10,Yayasan Peduli Sehat
National Preneur Olympiad 2024,Bisnis & Ekonomi,Kewirausahaan,Keuangan Inklusif,3155,36000000,,2024-08-26,BANK INDONESIA
National Eco Summit 2025,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,2149,31000000,,2025-06-22,Kementerian Sosial
IMPACT FEST MAKASSAR 2024,Sosial & Lingkungan,Pendidikan,Pengurangan Sampah Plastik,1219,48000000,,2024-01-21,wwf indonesia   
Aksi Baik Pontianak 2024,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,1251,14000000,2024-07-29,2024-10-20,Penyelenggara Independen
KOMPETISI DEVFEST MEDAN,Tech & IT,Data Science,Umum - Tech & IT,3714,26000000,,2024-11-28,AWS INDONESIA
National Med Inno 2025,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,3465,49000000,,2025-08-07,Kementerian Kesehatan RI
Gelar Gagasan Medis Nasional,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,2547,8000000,,2026-12-17,IKATAN DOKTER INDONESIA
Gelar Med Inno Bali,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,1804,31000000,,2026-03-19,WHO Indonesia
Festival Sociopreneur Medan,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3263,11000000,,2026-04-01,UNICEF Indonesia
national aksi baik 2026   ,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,3927,49000000,,2026-12-10,Kitabisa
Hackathon Denpasar 2025,Tech & IT,Umum - Tech & IT,Data Privacy,1626,44000000,2025-06-14,2025-08-13,KEMENTERIAN KOMINFO
Kompetisi Pitching Summit Bandung,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,2982,42000000,,2024-09-23,Bank Indonesia
FESTIVAL CODEFEST MAKASSAR,Tech & IT,Cyber Security,Smart City,2429,13000000,,2024-09-30,Tech Community
FESTIVAL HEALTH CHALLENGE PONTIANAK,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1804,47000000,,2024-08-01,Penyelenggara Independen
kompetisi sociopreneur semarang   ,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,894,28000000,,2026-11-20,kitabisa   
NATIONAL AKSI BAIK 2024,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,206,38000000,,2024-06-13,Yayasan Ruangguru
National Ideathon 2026,Tech & IT,Data Science,Blockchain for Good,2618,19000000,,2026-08-25,AWS INDONESIA
Preneur Olympiad Palembang 2026,Bisnis & Ekonomi,Business Plan,Keuangan Inklusif,1082,34000000,,2026-08-25,BCA
Sociopreneur Bengkulu 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,1847,10000000,,2026-11-01,UNICEF Indonesia
Kompetisi Impact Fest Semarang,Sosial & Lingkungan,Pendidikan,Energi Terbarukan,2570,30000000,,2026-10-29,KITABISA
NATIONAL IDEATHON 2025,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,852,36000000,,2025-08-11,Penyelenggara Independen
Kompetisi Eco Summit Malang,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,2405,40000000,,2024-09-21,UNICEF Indonesia
Gelar Preneur Olympiad Medan,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,2179,5000000,,2025-06-04,Inkubator Bisnis Univ
national med inno 2024   ,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1821,12000000,,2024-09-26,Penyelenggara Independen
National Preneur Olympiad 2024,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,1147,21000000,,2024-05-14,Bank Indonesia
National Business Case 2025,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,2937,25000000,,2025-07-13,Bank Indonesia
GELAR DEVFEST PEKANBARU,Tech & IT,AI/Machine Learning,Generative AI,62,14000000,,2024-05-14,Google Developer Group
Kompetisi Hackathon Surabaya,Tech & IT,UI/UX Design,Data Privacy,1626,12000000,2026-02-28,2024-05-14,Google Developer Group
KOMPETISI DEVFEST MEDAN,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,2514,38000000,,2024-02-14,PT Telkom Indonesia
GELAR SOCIOPRENEUR MANADO,Sosial & Lingkungan,Kemanusiaan,Pengurangan Sampah Plastik,3061,46000000,,2025-04-18,WWF Indonesia
National Impact Fest 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,-2659,30000000,,2024-07-08,WWF Indonesia
GELAR MED INNO BALIKPAPAN,Kesehatan,Kesehatan Masyarakat,Umum - Kesehatan,1188,21000000,,2024-06-02,Ikatan Dokter Indonesia
NATIONAL PRENEUR OLYMPIAD 2026,Bisnis & Ekonomi,Marketing,Green Economy,3376,36000000,,2026-10-21,Kementerian Koperasi dan UKM
Sociopreneur Malang 2024,Bisnis & Ekonomi,Kemanusiaan,Aksi Tanggap Bencana,-3521,9000000,,2025-01-02,Yayasan Ruangguru
festival startup fest bali   ,Bisnis & Ekonomi,Business Plan,Umum - Bisnis & Ekonomi,538,38000000,,2026-03-07,Bursa Efek Indonesia
Gagasan Medis Manado 2024,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,296,9000000,,2024-09-10,Kementerian Kesehatan RI
National Sociopreneur 2025,Sosial & Lingkungan,Umum - Sosial & Lingkungan,Energi Terbarukan,3049,6000000,,2025-06-24,UNICEF INDONESIA
National Aksi Baik 2024,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,-1991,31000000,,2024-04-07,WWF Indonesia
National Relawan Challenge 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Energi Terbarukan,3533,20000000,2024-01-24,2024-03-21,yayasan ruangguru   
National Business Case 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3593,49000000,,2024-05-13,BANK INDONESIA
National Venture Challenge 2024,Bisnis & Ekonomi,Business Plan,Keuangan Inklusif,2084,29000000,2024-07-21,2024-09-24,Inkubator Bisnis Univ
National Aksi Baik 2025,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,3820,27000000,,2025-06-05,Kementerian Sosial
National DevFest 2025,Tech & IT,UI/UX Design,Smart City,2018,28000000,,2025-02-17,Google Developer Group
Kompetisi Eco Summit Yogyakarta,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,1921,42000000,,2024-09-28,Yayasan Ruangguru
festival hackathon malang   ,Tech & IT,Data Science,Aplikasi Layanan Publik,1718,25000000,,2026-05-11,pt telkom indonesia   
gelar business case samarinda   ,Bisnis & Ekonomi,Business Plan,Umum - Bisnis & Ekonomi,2090,40000000,,2025-09-18,Inkubator Bisnis Univ
Aksi Baik Padang 2024,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,-820,10000000,,2024-09-11,WWF Indonesia
tech challenge batam 2024   ,Tech & IT,Data Science,Generative AI,1626,27000000,,2024-09-17,Google Developer Group
gagasan medis batam 2026   ,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,1185,33000000,,2026-03-18,WHO Indonesia
Gelar Venture Challenge Padang,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3124,36000000,,2025-12-01,Penyelenggara Independen
NATIONAL RELAWAN CHALLENGE 2024,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,1449,6000000,,2024-12-16,Kementerian Sosial
Kompetisi Datathon Surabaya,Tech & IT,Software Development,Umum - Tech & IT,3835,21000000,,2025-11-21,Google Developer Group
BUSINESS CASE DENPASAR 2026,Bisnis & Ekonomi,Fintech,Umum - Bisnis & Ekonomi,2090,42000000,,2026-11-10,BANK INDONESIA
Gelar Preneur Olympiad Samarinda,Bisnis & Ekonomi,Business Plan,Strategi Pemasaran Gen Z,2090,29000000,,2026-10-02,Kementerian Koperasi dan UKM
kompetisi relawan challenge batam   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,630,36000000,,2026-05-25,WWF Indonesia
National Tech Challenge 2026,Tech & IT,Umum - Tech & IT,Data Privacy,1626,40000000,,2026-11-05,PT Telkom Indonesia
FESTIVAL MEDICAL HACKATHON BALI,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,-1023,43000000,,2025-11-25,WHO INDONESIA
gelar startup fest batam   ,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,3009,18000000,,2026-04-26,Bank Indonesia
Gelar CodeFest Manado,Tech & IT,Data Science,Smart City,2693,27000000,,2024-07-24,KEMENTERIAN KOMINFO
Preneur Olympiad Denpasar 2024,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,492,27000000,,2024-08-01,Bursa Efek Indonesia
NATIONAL STARTUP FEST 2025,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,2551,41000000,,2025-01-25,Kementerian Koperasi dan UKM
IDEATHON JAKARTA 2024,Tech & IT,Software Development,Data Privacy,1626,12000000,,2024-05-19,AWS INDONESIA
med inno medan 2024   ,Kesehatan,Kesehatan Masyarakat,Umum - Kesehatan,3796,41000000,,2024-06-21,kementerian kesehatan ri   
Medical Hackathon Malang 2026,Kesehatan,Kesehatan Mental,Telemedicine Inklusif,1524,37000000,,2026-10-20,Kementerian Kesehatan RI
GELAR DEVFEST PEKANBARU,Tech & IT,AI/Machine Learning,Generative AI,62,29000000,,2024-05-14,Google Developer Group
tech challenge palembang 2026   ,Tech & IT,Umum - Tech & IT,Generative AI,1980,40000000,,2026-09-22,Penyelenggara Independen
national startup fest 2024   ,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,2090,48000000,,2024-12-13,INKUBATOR BISNIS UNIV
national gagasan medis 2026   ,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1804,19000000,,2026-11-05,WHO Indonesia
Aksi Sehat Padang 2024,Kesehatan,Teknologi Medis,Umum - Kesehatan,3870,17000000,,2024-11-05,Yayasan Peduli Sehat
Relawan Challenge Batam 2024,Sosial & Lingkungan,Lingkungan Hidup,Pengurangan Sampah Plastik,1921,33000000,,2024-11-05,Penyelenggara Independen
Kompetisi Preneur Olympiad Nasional,Bisnis & Ekonomi,Kewirausahaan,Umum - Bisnis & Ekonomi,2090,29000000,,2024-12-30,Kementerian Koperasi dan UKM
Medical Hackathon Malang 2024,Kesehatan,Umum - Kesehatan,Awareness Kesehatan Mental,1076,5000000,,2024-10-27,Ikatan Dokter Indonesia
Festival Eco Summit Malang,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,2220,18000000,,2024-10-24,Kitabisa
National Aksi Baik 2026,Sosial & Lingkungan,Lingkungan Hidup,Umum - Sosial & Lingkungan,2081,20000000,2026-05-16,2026-06-17,kitabisa   
Gelar Datathon Malang,Tech & IT,Software Development,Blockchain for Good,2599,43000000,,2026-11-08,PT Telkom Indonesia
FESTIVAL GAGASAN MEDIS PALEMBANG,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,-934,28000000,,2024-11-09,YAYASAN PEDULI SEHAT
national sociopreneur 2026   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,3343,40000000,,2024-11-09,UNICEF Indonesia
gelar ideathon bali   ,Tech & IT,Data Science,Aplikasi Layanan Publik,2706,31000000,2024-02-23,2024-04-10,Google Developer Group
festival tech challenge medan   ,Tech & IT,Data Science,Blockchain for Good,1026,48000000,,2025-06-24,PT Telkom Indonesia
NATIONAL VENTURE CHALLENGE 2024,Bisnis & Ekonomi,Kewirausahaan,Green Economy,2233,30000000,,2024-10-13,Bank Indonesia
DATATHON BENGKULU 2024,Tech & IT,Data Science,Blockchain for Good,1247,9000000,,2024-11-23,Tech Community
national ideathon 2026   ,Tech & IT,Software Development,Data Privacy,1451,48000000,,2024-11-23,Penyelenggara Independen
tech challenge nasional 2026   ,Tech & IT,UI/UX Design,Smart City,988,37000000,,2026-03-27,Kementerian Kominfo
National Eco Summit 2025,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,2789,44000000,,2025-10-07,Yayasan Ruangguru
Health Challenge Medan 2026,Kesehatan,Kesehatan Masyarakat,Awareness Kesehatan Mental,3284,19000000,,2026-11-28,Penyelenggara Independen
kompetisi medical hackathon yogyakarta   ,Kesehatan,Kesehatan Masyarakat,Inovasi Alat Medis,1676,29000000,,2024-06-09,kementerian kesehatan ri   
FESTIVAL HACKATHON MEDAN,Tech & IT,Cyber Security,Blockchain for Good,2094,16000000,,2026-07-05,PT Telkom Indonesia
Festival Ideathon Medan,Tech & IT,Data Science,Smart City,1626,32000000,,2025-12-04,Kementerian Kominfo
Med Inno Balikpapan 2025,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,2991,45000000,,2025-03-04,who indonesia   
Gelar Relawan Challenge Batam,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,590,19000000,,2025-09-17,YAYASAN RUANGGURU
Ideathon Samarinda 2026,Tech & IT,Data Science,Data Privacy,2089,37000000,,2026-08-01,PT Telkom Indonesia
Tech Challenge Bali 2024,Tech & IT,Cyber Security,Generative AI,-1735,6000000,,2024-04-24,AWS Indonesia
Gelar Health Challenge Palembang,Kesehatan,Kesehatan Masyarakat,Pencegahan Stunting,1804,32000000,,2025-08-02,IKATAN DOKTER INDONESIA
KOMPETISI STARTUP FEST MEDAN,Bisnis & Ekonomi,Marketing,Green Economy,351,19000000,,2024-11-28,Inkubator Bisnis Univ
Kompetisi Datathon Bali,Tech & IT,Cyber Security,Generative AI,3307,26000000,,2025-04-25,AWS Indonesia
KOMPETISI SOCIOPRENEUR BENGKULU,Sosial & Lingkungan,Pemberdayaan Masyarakat,Aksi Tanggap Bencana,-1941,13000000,,2025-11-29,Yayasan Ruangguru
National Aksi Baik 2025,Sosial & Lingkungan,Kemanusiaan,Energi Terbarukan,154,22000000,,2025-05-02,UNICEF INDONESIA
National Medical Hackathon 2024,Kesehatan,Kesehatan Mental,Pencegahan Stunting,78,8000000,2024-06-13,2024-07-07,Kementerian Kesehatan RI
National Relawan Challenge 2025,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,948,45000000,,2025-07-24,Kementerian Sosial
Relawan Challenge Balikpapan 2025,Sosial & Lingkungan,Kemanusiaan,Umum - Sosial & Lingkungan,3155,19000000,,2025-05-08,WWF Indonesia
startup fest bengkulu 2026   ,Bisnis & Ekonomi,Pengembangan UMKM,Ekonomi Sirkular,2244,26000000,,2026-06-16,Kementerian Koperasi dan UKM
Business Case Balikpapan 2026,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3142,29000000,,2026-11-06,BANK INDONESIA
Festival Med Inno Nasional,Kesehatan,Gizi dan Nutrisi,Inovasi Alat Medis,1223,41000000,,2026-07-16,WHO Indonesia
National Aksi Baik 2026,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,3775,27000000,,2026-06-28,UNICEF Indonesia
national aksi baik 2026   ,Sosial & Lingkungan,Lingkungan Hidup,Pendidikan Daerah Terpelosok,3775,27000000,,2026-06-28,unicef indonesia   
Festival Gagasan Medis Pekanbaru,Kesehatan,Kesehatan Mental,Pencegahan Stunting,1311,14000000,,2026-04-15,Yayasan Peduli Sehat
National Ideathon 2024,Tech & IT,AI/Machine Learning,Generative AI,416,18000000,,2024-03-13,Tech Community
National Ideathon 2026,Tech & IT,Data Science,Generative AI,3448,34000000,,2024-03-13,TECH COMMUNITY
Pitching Summit Surabaya 2024,Bisnis & Ekonomi,Kewirausahaan,Ekonomi Sirkular,3478,35000000,,2024-03-13,Penyelenggara Independen
IDEATHON PONTIANAK 2026,Tech & IT,Cyber Security,Generative AI,-542,44000000,,2026-03-24,tech community   
NATIONAL TECH CHALLENGE 2024,Tech & IT,UI/UX Design,Data Privacy,344,39000000,,2024-06-11,Penyelenggara Independen
STARTUP FEST BATAM 2025,Bisnis & Ekonomi,Marketing,Ekonomi Sirkular,2090,27000000,,2025-08-25,BANK INDONESIA
Kompetisi Startup Fest Nasional,Bisnis & Ekonomi,Marketing,Umum - Bisnis & Ekonomi,2161,31000000,,2024-11-18,Inkubator Bisnis Univ
National Relawan Challenge 2024,Sosial & Lingkungan,Kemanusiaan,Pendidikan Daerah Terpelosok,3207,16000000,,2024-11-03,KEMENTERIAN SOSIAL
Eco Summit Semarang 2026,Sosial & Lingkungan,Lingkungan Hidup,Energi Terbarukan,2754,26000000,,2026-09-03,wwf indonesia   
National Startup Fest 2024,Bisnis & Ekonomi,Marketing,Keuangan Inklusif,682,26000000,,2024-08-17,BCA
festival business case jakarta   ,Lainnya,Fintech,Green Economy,3119,21000000,,2024-08-17,Bank Indonesia
FESTIVAL MEDICAL HACKATHON PALEMBANG,Kesehatan,Gizi dan Nutrisi,Awareness Kesehatan Mental,706,9000000,,2024-03-02,Yayasan Peduli Sehat
national startup fest 2025   ,Bisnis & Ekonomi,Pengembangan UMKM,Green Economy,673,49000000,,2025-04-09,Bank Indonesia
Kompetisi Preneur Olympiad Bali,Bisnis & Ekonomi,Pengembangan UMKM,Strategi Pemasaran Gen Z,1584,50000000,,2026-05-10,bursa efek indonesia   
National Aksi Baik 2026,Sosial & Lingkungan,Pemberdayaan Masyarakat,Energi Terbarukan,1219,21000000,,2026-12-26,Kitabisa
National Tech Challenge 2025,Tech & IT,AI/Machine Learning,Aplikasi Layanan Publik,1733,36000000,,2025-03-17,PT Telkom Indonesia
KOMPETISI MEDICAL HACKATHON PONTIANAK,Kesehatan,Teknologi Medis,Pencegahan Stunting,3306,42000000,,2026-05-11,WHO INDONESIA
Aksi Sehat Malang 2024,Kesehatan,Teknologi Medis,Pencegahan Stunting,223,35000000,,2024-10-01,Ikatan Dokter Indonesia
PITCHING SUMMIT PONTIANAK 2025,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,3751,33000000,2025-06-28,2025-08-14,Kementerian Koperasi dan UKM
Kompetisi Aksi Sehat Batam,Kesehatan,Gizi dan Nutrisi,Pencegahan Stunting,-315,36000000,,2026-02-22,Ikatan Dokter Indonesia
National Aksi Sehat 2024,Kesehatan,Umum - Kesehatan,Pencegahan Stunting,2664,34000000,,2024-04-30,Ikatan Dokter Indonesia
Festival Medical Hackathon Pekanbaru,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,676,34000000,,2026-09-25,Ikatan Dokter Indonesia
NATIONAL CODEFEST 2024,Tech & IT,Software Development,Generative AI,117,16000000,2024-07-04,2024-08-25,Kementerian Kominfo
NATIONAL DEVFEST 2025,Tech & IT,Data Science,Data Privacy,2121,33000000,,2025-10-15,Google Developer Group
National Relawan Challenge 2024,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,801,29000000,,2024-07-08,Kitabisa
National Startup Fest 2024,Bisnis & Ekonomi,Business Plan,Green Economy,623,50000000,,2024-11-03,BANK INDONESIA
Health Challenge Palembang 2025,Kesehatan,Teknologi Medis,Inovasi Alat Medis,849,28000000,,2024-11-03,Kementerian Kesehatan RI
Aksi Baik Makassar 2024,Sosial & Lingkungan,Pendidikan,Aksi Tanggap Bencana,3749,46000000,2024-09-04,2024-10-09,Penyelenggara Independen
kompetisi codefest samarinda   ,Tech & IT,Data Science,Generative AI,1160,42000000,,2026-10-26,Tech Community
National Medical Hackathon 2024,Kesehatan,Kesehatan Mental,Awareness Kesehatan Mental,1804,6000000,,2024-08-04,ikatan dokter indonesia   
FESTIVAL AKSI BAIK NASIONAL,Sosial & Lingkungan,Lingkungan Hidup,Aksi Tanggap Bencana,-2884,37000000,,2025-07-04,Kitabisa
Preneur Olympiad Bengkulu 2026,Bisnis & Ekonomi,Marketing,Strategi Pemasaran Gen Z,2090,29000000,,2026-02-27,Bank Indonesia
CodeFest Padang 2025,Tech & IT,Software Development,Aplikasi Layanan Publik,1728,6000000,,2025-03-06,kementerian kominfo   
gelar startup fest bengkulu   ,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,2090,29000000,,2025-03-06,Kementerian Koperasi dan UKM
Aksi Sehat Denpasar 2026,Kesehatan,Kesehatan Mental,Pencegahan Stunting,2729,37000000,,2026-09-10,Yayasan Peduli Sehat
Gelar Impact Fest Semarang,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,3369,13000000,,2026-09-10,YAYASAN RUANGGURU
National Startup Fest 2024,Bisnis & Ekonomi,Pengembangan UMKM,Digitalisasi UMKM,3757,49000000,,2025-01-04,Kementerian Koperasi dan UKM
Hackathon Pontianak 2026,Tech & IT,Cyber Security,Smart City,2973,23000000,,2026-11-27,Tech Community
Med Inno Balikpapan 2024,Kesehatan,Gizi dan Nutrisi,Telemedicine Inklusif,1804,11000000,,2024-06-03,WHO Indonesia
Kompetisi Impact Fest Jakarta,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pengurangan Sampah Plastik,1921,26000000,,2026-04-23,WWF Indonesia
festival sociopreneur pekanbaru   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,1921,11000000,,2024-03-26,Penyelenggara Independen
Kompetisi Aksi Sehat Padang,Kesehatan,Teknologi Medis,Telemedicine Inklusif,1892,20000000,,2025-08-09,KEMENTERIAN KESEHATAN RI
Med Inno Balikpapan 2026,Kesehatan,Teknologi Medis,Inovasi Alat Medis,1496,33000000,,2026-04-30,Ikatan Dokter Indonesia
Gelar Aksi Sehat Manado,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,-259,40000000,,2025-06-10,yayasan peduli sehat   
Med Inno Surabaya 2024,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,2125,48000000,,2025-06-10,Ikatan Dokter Indonesia
Gelar Hackathon Malang,Tech & IT,UI/UX Design,Aplikasi Layanan Publik,1629,48000000,,2024-11-01,Kementerian Kominfo
Med Inno Bali 2026,Kesehatan,Teknologi Medis,Inovasi Alat Medis,-3833,30000000,,2026-03-28,Kementerian Kesehatan RI
national startup fest 2026   ,Bisnis & Ekonomi,Fintech,Digitalisasi UMKM,1896,26000000,,2026-04-08,BANK INDONESIA
Preneur Olympiad Denpasar 2025,Bisnis & Ekonomi,Pengembangan UMKM,Keuangan Inklusif,2090,42000000,,2025-11-28,Bursa Efek Indonesia
Festival Tech Challenge Semarang,Tech & IT,Software Development,Generative AI,2313,28000000,,2024-04-10,PT Telkom Indonesia
Pitching Summit Makassar 2026,Bisnis & Ekonomi,Kewirausahaan,Digitalisasi UMKM,1133,12000000,,2026-05-19,BCA
National Preneur Olympiad 2026,Bisnis & Ekonomi,Umum - Bisnis & Ekonomi,Digitalisasi UMKM,2090,47000000,,2026-10-02,BCA
festival eco summit yogyakarta   ,Sosial & Lingkungan,Pemberdayaan Masyarakat,Pendidikan Daerah Terpelosok,112,35000000,,2026-11-04,WWF INDONESIA
Gelar Business Case Manado,Bisnis & Ekonomi,Kewirausahaan,Green Economy,3175,22000000,,2025-09-28,BCA
Kompetisi Business Case Balikpapan,Bisnis & Ekonomi,Marketing,Green Economy,2528,35000000,,2025-11-13,Bursa Efek Indonesia
Festival Aksi Sehat Denpasar,Kesehatan,Teknologi Medis,Telemedicine Inklusif,3559,44000000,,2025-11-15,WHO Indonesia
National Aksi Sehat 2024,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1804,37000000,,2024-12-10,Ikatan Dokter Indonesia
preneur olympiad semarang 2024   ,Bisnis & Ekonomi,Business Plan,Ekonomi Sirkular,1166,45000000,,2024-10-30,bursa efek indonesia   
national datathon 2026   ,Tech & IT,Cyber Security,Generative AI,1626,29000000,,2026-06-02,AWS Indonesia
Festival Medical Hackathon Pekanbaru,Kesehatan,Kesehatan Masyarakat,Telemedicine Inklusif,1804,34000000,,2026-09-25,IKATAN DOKTER INDONESIA
Relawan Challenge Pontianak 2024,Sosial & Lingkungan,Kemanusiaan,Aksi Tanggap Bencana,-3183,45000000,2024-06-26,2024-09-10,UNICEF Indonesia
